external_item_id,interaction_count
i10,12
i1000,27
i100001,10
i100015,22
i100019,4
i100022,33
i100024,10
i100028,10
i100030,27
i100032,1
i100049,15
i100051,12
i100054,9
i100059,2
i10006,2
i100060,4
i100061,8
i100063,63
i100066,21
i100067,11
i100068,21
i10007,3
i100073,45
i100075,12
i100076,40
i100077,17
i100079,58
i100080,1
i100083,6
i100086,2
i100087,13
i100088,29
i100090,17
i100092,10
i100094,17
i100099,1
i100100,33
i100101,11
i100106,1
i100109,3
i10011,1
i100110,8
i100126,4
i100128,15
i10014,57
i100144,1
i100146,29
i100155,10
i100159,4
i10016,10
i100160,49
i100164,4
i10017,50
i100172,47
i100174,6
i100178,1
i100180,1
i100185,4
i10019,44
i100191,19
i100194,1
i100196,44
i100198,19
i100201,20
i100208,1
i100209,8
i10021,9
i100213,14
i100218,41
i100225,37
i100227,2
i100241,77
i100242,1
i100243,1
i100254,7
i100260,23
i100269,1
i100270,5
i100272,7
i100276,25
i100277,1
i100278,29
i100287,16
i100289,11
i10029,59
i100290,23
i100299,20
i100302,17
i100304,38
i100305,7
i100309,1
i100318,7
i100319,19
i100320,3
i100324,22
i100326,13
i100330,18
i100331,2
i100332,4
i100333,1
i100337,41
i100338,28
i100339,38
i100341,1
i100344,1
i100349,2
i10035,47
i100350,16
i100351,3
i100354,2
i100356,2
i100357,1
i100358,6
i100363,1
i10037,21
i100378,30
i10038,58
i100389,7
i100398,2
i1004,57
i10040,17
i100400,3
i100409,44
i10041,9
i100410,21
i100411,17
i100413,8
i100415,2
i100417,19
i100418,1
i100420,9
i100423,60
i100429,17
i100432,5
i100440,28
i100442,35
i100444,22
i100447,5
i100449,42
i10045,17
i100455,16
i100456,6
i10046,3
i100460,10
i100464,17
i100466,1
i100468,18
i10047,6
i100473,41
i100477,3
i100478,46
i100483,15
i100486,4
i100495,22
i100499,2
i1005,79
i100500,5
i100501,63
i100504,1
i100505,8
i100510,5
i100514,28
i100515,6
i100517,59
i100519,49
i10052,8
i100529,3
i100530,12
i100532,7
i100533,26
i100537,9
i10054,22
i100540,1
i100543,14
i100545,7
i100546,26
i100549,11
i100553,4
i100554,2
i100563,16
i100565,9
i100573,2
i100574,3
i100576,26
i100578,4
i100579,63
i100588,2
i10059,1
i100606,9
i100608,27
i100612,4
i100614,12
i100617,25
i100620,21
i100622,1
i100627,14
i10063,10
i10064,11
i100647,2
i100648,4
i100658,4
i100659,1
i100662,1
i100666,1
i10067,39
i10068,17
i100684,15
i100685,14
i100688,4
i100689,2
i100702,5
i100709,7
i100710,1
i100713,20
i10072,1
i100725,6
i100727,16
i100729,35
i10073,20
i100732,11
i100737,15
i100740,16
i100749,2
i100752,1
i100753,3
i100755,33
i100757,55
i100760,6
i100763,4
i100764,7
i100767,9
i100769,31
i100772,2
i100774,21
i100776,23
i100785,9
i100789,14
i10079,4
i100793,3
i100796,23
i100797,3
i100800,1
i100803,76
i100804,19
i100805,9
i100810,1
i100813,9
i100818,23
i100819,42
i100821,44
i100824,66
i100825,1
i100827,21
i100828,20
i100849,4
i100858,2
i100859,39
i100860,5
i100862,13
i100870,1
i100874,12
i100877,4
i10088,2
i100881,2
i100885,6
i100887,6
i100888,38
i10089,8
i100892,5
i100898,16
i100901,1
i100902,3
i100909,8
i100916,34
i100918,43
i100920,46
i100922,13
i100923,18
i100924,8
i100927,72
i100932,24
i100933,20
i100935,38
i100936,24
i100941,3
i100946,2
i100954,29
i100957,63
i100958,38
i100959,3
i100965,15
i100966,12
i10097,3
i100976,5
i100980,38
i100981,4
i100993,4
i100997,14
i101000,5
i101001,4
i101004,28
i101007,10
i10101,2
i101010,2
i101014,7
i101018,10
i101020,2
i101022,14
i101025,38
i101026,7
i101027,22
i10103,3
i101031,1
i101036,5
i101040,5
i101043,3
i101044,12
i101049,2
i101055,41
i101060,8
i101062,2
i101066,10
i101067,33
i101069,4
i101071,3
i101075,14
i101077,7
i10108,73
i101085,10
i101088,1
i101091,15
i101093,66
i101098,5
i101099,8
i1011,17
i101105,11
i101111,9
i101118,3
i10112,14
i101127,23
i101131,20
i101138,5
i101142,11
i10115,2
i101153,7
i101155,17
i101156,2
i10116,28
i101162,13
i101166,37
i101167,46
i101173,3
i101177,34
i101178,29
i101180,6
i101191,1
i101192,1
i101193,9
i101209,7
i101210,12
i101211,10
i101213,21
i101216,5
i101217,5
i101219,3
i101221,36
i101222,1
i101225,8
i101230,4
i101233,34
i101235,14
i101237,8
i101245,7
i101246,6
i101252,14
i101254,13
i101258,9
i101259,34
i101266,20
i101269,14
i101280,2
i101285,5
i101286,6
i101306,16
i10131,42
i101310,5
i101312,1
i101313,51
i101315,11
i101316,3
i101318,68
i10132,2
i101321,3
i101332,3
i101333,16
i101336,4
i101337,11
i101346,23
i101351,4
i101357,3
i101358,5
i10136,22
i101363,1
i101364,28
i101365,4
i101366,28
i101369,11
i101374,3
i101375,10
i10138,22
i101387,7
i101388,37
i101392,32
i101396,19
i101398,5
i101399,16
i10140,17
i101402,2
i101407,13
i101409,20
i101410,44
i101414,8
i101418,1
i101421,47
i101429,11
i101432,14
i101433,13
i101436,12
i101437,2
i101438,6
i10144,21
i101449,6
i101453,1
i101458,13
i101461,25
i101464,17
i101466,1
i101476,5
i101479,4
i10148,8
i101481,11
i101486,3
i101487,4
i101489,7
i101490,3
i101491,5
i10150,20
i101501,2
i101502,19
i101503,6
i101506,3
i10151,39
i101530,15
i101534,4
i101537,1
i101539,12
i10154,4
i101542,26
i101547,4
i101548,17
i101550,7
i101551,1
i101558,2
i101560,13
i101562,6
i101563,2
i101567,3
i101568,5
i10157,3
i101574,3
i101577,1
i101579,25
i10158,11
i101585,17
i101591,1
i101593,5
i101598,2
i101599,29
i1016,2
i101600,4
i101606,15
i101608,4
i101618,24
i101624,33
i101625,1
i101628,3
i101644,5
i101649,2
i101650,6
i101651,23
i101653,4
i101666,3
i10167,14
i101676,16
i101678,3
i101680,14
i101685,21
i101687,15
i101688,25
i101690,3
i101698,10
i101699,35
i1017,42
i101702,1
i101704,5
i101708,5
i101709,4
i10171,4
i101714,7
i101720,7
i101721,1
i101723,19
i101728,9
i101729,31
i101739,13
i101749,87
i101753,1
i101755,14
i101757,5
i101758,20
i101759,47
i10176,57
i101763,55
i101765,17
i101766,32
i101774,27
i101778,11
i101779,10
i101781,6
i101782,5
i101786,1
i101788,11
i101793,39
i101796,3
i101797,17
i101798,16
i101801,7
i101803,6
i101805,20
i101806,5
i101807,5
i101812,29
i101814,9
i101816,19
i101824,51
i101834,33
i101840,23
i101841,52
i101842,2
i101843,44
i101852,4
i101853,2
i101854,4
i101855,70
i101858,5
i101865,8
i101867,24
i101869,10
i101874,4
i101875,1
i101883,13
i101896,9
i101899,37
i101900,16
i101902,7
i101906,5
i101911,40
i101913,4
i101919,15
i101922,9
i101930,4
i101933,13
