external_user_id,interaction_count
u10002670,14
u10003782,11
u10004134,9
u10004338,8
u10004764,7
u10008605,13
u10009614,17
u10009929,9
u10011206,17
u10012137,16
u10012818,34
u10013582,12
u10013659,9
u10017894,13
u10018359,9
u10018424,11
u10019491,16
u10020645,9
u10024871,11
u10026452,11
u10026866,9
u10029597,15
u10029695,15
u10029700,11
u10029843,11
u10031064,7
u10031175,13
u10032806,9
u10034607,10
u10035110,12
u10036133,15
u10037202,16
u10037749,13
u10039584,12
u10040593,13
u10041249,16
u10042075,11
u10042833,16
u10042902,16
u10043069,12
u10045584,12
u10046001,10
u10051164,10
u10052483,10
u10054533,12
u10055111,10
u10056388,10
u10057909,10
u10058569,9
u10060586,10
u10062517,16
u10064571,14
u10068135,9
u10070794,16
u10071770,10
u10072095,6
u10073,9
u10074198,11
u10077084,8
u10080018,23
u10080103,16
u10082268,15
u10082756,15
u10085122,17
u10086717,9
u10091583,25
u10091987,15
u10092970,10
u10093136,14
u10093299,14
u10094179,8
u10097489,9
u10098357,7
u10099264,13
u10099858,13
u10101527,17
u10102083,11
u10103128,9
u10103840,12
u10104048,11
u10105784,8
u10109388,12
u10110016,12
u10110895,15
u10111358,16
u10113819,10
u10114269,15
u10117538,10
u10119,34
u10120545,9
u10122438,9
u10122457,13
u10122699,11
u10122976,7
u10124680,15
u10124879,12
u10125710,12
u10127854,11
u10133338,21
u10136993,13
u10137054,11
u10139314,8
u10139968,9
u10139971,7
u10141396,12
u10143542,9
u10143833,10
u10144773,13
u10144813,15
u10144887,10
u10145640,11
u10147165,19
u10148190,16
u10152,43
u10153400,15
u10153658,10
u10154004,9
u10154895,15
u10154962,13
u10155101,12
u10156143,11
u10159500,8
u10161832,14
u10161858,11
u10163264,9
u10165916,12
u10166216,9
u10174314,12
u10176131,9
u10176723,15
u10177958,7
u10178116,11
u10178118,8
u10178386,7
u10179598,15
u10179837,9
u10180236,12
u10183146,14
u10183148,14
u10184289,12
u10186358,11
u10187546,13
u10188809,15
u10189764,15
u10190675,13
u10191082,9
u10191450,12
u10191609,10
u10192154,11
u10192187,8
u10192282,7
u10192677,11
u10192851,12
u10193076,10
u10193963,8
u10196409,10
u10198958,11
u10199145,11
u10199277,8
u10199633,9
u10200831,11
u10201977,15
u10205579,14
u10206652,12
u10208390,13
u10209206,14
u10209425,11
u10209916,11
u10211175,7
u10214342,12
u10215549,12
u10216037,13
u10223037,7
u10224570,11
u10227362,13
u10233788,9
u10235417,10
u10235532,9
u10235780,20
u10238710,12
u10240761,15
u10241358,11
u10242484,13
u10251430,9
u10255229,23
u10255987,13
u10259569,7
u10259653,9
u10260666,9
u10261125,10
u10263529,9
u10263946,9
u10263970,8
u10264786,23
u10265747,6
u10266504,13
u10266695,12
u10267309,10
u10267936,15
u10268649,11
u10268859,8
u10269742,29
u10271141,10
u10271612,11
u10271625,10
u10273111,10
u10273177,8
u10275992,17
u10276447,20
u10276532,12
u10278555,19
u10278648,20
u10279004,7
u10280515,14
u10284,37
u10284039,10
u10285560,10
u10287613,11
u10287831,11
u10289748,7
u10290268,11
u10290283,17
u10294526,13
u10295,84
u10295843,14
u10296264,9
u10296486,13
u10297269,12
u10299754,8
u10299945,19
u10300295,7
u10300796,10
u10300952,8
u10304392,8
u10310082,17
u10322258,23
u10325422,8
u10326038,11
u10327745,10
u10329094,12
u10329115,17
u10330094,11
u10331970,10
u10334061,8
u10334682,17
u10336954,18
u10337360,10
u10338538,10
u10340169,7
u10340574,14
u10341158,10
u10341757,9
u10343342,18
u10345021,12
u10347854,10
u10350998,8
u10352688,10
u10352704,16
u10354905,12
u10355092,7
u10355483,8
u10356086,11
u10356197,11
u10357017,13
u10359928,6
u10360412,10
u10362898,9
u10364669,15
u10365258,8
u10367963,9
u10368587,10
u10371830,18
u10372643,12
u10373917,7
u10374040,16
u10374473,11
u10374543,8
u10374706,10
u10376244,8
u10376467,10
u10376955,8
u10383108,11
u10384955,14
u10385549,8
u10392554,9
u10396523,10
u10397451,9
u10400476,15
u10400674,10
u10401557,13
u10402515,14
u10403626,9
u10405686,8
u10405921,8
u10406545,10
u10409066,9
u10410021,8
u10412608,13
u10413774,8
u10414517,10
u10419991,11
u10420046,7
u10420417,10
u10420953,15
u10422260,11
u10422487,9
u10422732,7
u10422876,16
u10423043,11
u10424598,7
u10425272,12
u10425792,11
u10427874,12
u10428567,14
u10429296,11
u10430497,10
u10431618,7
u10434713,16
u10436823,19
u10440445,13
u10443618,13
u10446268,9
u10446412,11
u10447030,14
u10447111,7
u10450770,12
u10452602,10
u10453955,10
u10455037,9
u10455143,14
u10458742,11
u10459098,8
u10459465,14
u10459507,11
u10460695,12
u10460815,9
u10461975,10
u10465058,12
u10466473,9
u10466974,9
u10469,19
u10472012,14
u10474260,8
u10476003,8
u10476265,10
u10480,11
u10483122,21
u10485217,8
u10486555,11
u10487227,7
u10490,27
u10490291,9
u10492100,14
u10493997,10
u10496025,10
u10496631,24
u10499999,17
u1050,9
u10500366,12
u10502851,13
u10503537,7
u10505607,14
u10505858,14
u10507560,13
u10509023,10
u10510156,28
u10510982,12
u10511131,14
u10516798,15
u10519484,13
u10523261,10
u10524134,11
u10524634,10
u10526416,12
u10526602,16
u10527965,11
u10528117,15
u10528183,10
u10528300,16
u10529624,22
u10530515,9
u10534950,11
u10535884,9
u10540298,12
